Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W7_DAL_WAS,2,2,0.49,0.51,Solver,N/A
3,W7_DAL_WAS,1,4,0.6,0.4,Non-Solver,N/A
4,W7_DAL_WAS,1,4,0.43,0.57,Non-Solver,N/A
9,W7_DAL_WAS,1,4,0.55,0.45,Non-Solver,N/A
13,W7_DAL_WAS,1,4,0.72,0.28,Non-Solver,N/A
16,W7_DAL_WAS,1,8,0.6,0.4,Non-Solver,N/A
21,W7_DAL_WAS,1,10,0.8,0.2,Non-Solver,N/A
24,W7_DAL_WAS,1,2,0.22,0.78,Non-Solver,N/A
26,W7_DAL_WAS,1,2,0.32,0.68,Non-Solver,N/A
27,W7_DAL_WAS,1,4,0.5,0.5,Non-Solver,N/A
28,W7_DAL_WAS,1,2,0.82,0.18,Non-Solver,N/A
29,W7_DAL_WAS,2,2,0.75,0.25,Solver,N/A
31,W7_DAL_WAS,2,4,0.47,0.53,Solver,N/A
32,W7_DAL_WAS,1,2,0.65,0.35,Non-Solver,N/A
33,W7_DAL_WAS,1,2,0.5,0.5,Non-Solver,N/A
35,W7_DAL_WAS,1,4,0.1,0.9,Non-Solver,N/A
44,W7_DAL_WAS,1,6,0.7,0.3,Non-Solver,N/A
45,W7_DAL_WAS,1,8,0.36,0.64,Non-Solver,N/A
46,W7_DAL_WAS,1,8,0.77,0.23,Non-Solver,N/A
48,W7_DAL_WAS,1,6,0.77,0.23,Non-Solver,N/A
49,W7_DAL_WAS,1,6,0.76,0.24,Non-Solver,N/A
50,W7_DAL_WAS,1,4,0.73,0.27,Non-Solver,N/A
53,W7_DAL_WAS,1,2,0.5,0.5,Non-Solver,N/A
54,W7_DAL_WAS,1,8,0.65,0.35,Non-Solver,N/A
56,W7_DAL_WAS,2,2,0.46,0.54,Solver,N/A
60,W7_DAL_WAS,1,6,0.82,0.18,Non-Solver,N/A
61,W7_DAL_WAS,1,8,0.65,0.35,Non-Solver,N/A
62,W7_DAL_WAS,1,6,0.48,0.52,Non-Solver,N/A
63,W7_DAL_WAS,1,4,0.63,0.37,Non-Solver,N/A
64,W7_DAL_WAS,2,2,0.59,0.41,Solver,N/A
65,W7_DAL_WAS,2,8,0.45,0.55,Solver,N/A
66,W7_DAL_WAS,1,10,0.55,0.45,Non-Solver,N/A
67,W7_DAL_WAS,1,4,0.79,0.21,Non-Solver,N/A
69,W7_DAL_WAS,1,8,0.7,0.3,Non-Solver,N/A
70,W7_DAL_WAS,1,10,0.95,0.05,Non-Solver,N/A
71,W7_DAL_WAS,1,8,0.77,0.23,Non-Solver,N/A
73,W7_DAL_WAS,2,2,0.5,0.5,Solver,N/A
75,W7_DAL_WAS,1,6,0.6,0.4,Non-Solver,N/A
76,W7_DAL_WAS,1,2,0.65,0.35,Non-Solver,N/A
77,W7_DAL_WAS,1,4,0.59,0.41,Non-Solver,N/A
80,W7_DAL_WAS,1,4,0.2,0.8,Non-Solver,N/A
83,W7_DAL_WAS,2,6,0.34,0.66,Solver,N/A
86,W7_DAL_WAS,1,6,0.57,0.43,Non-Solver,N/A
89,W7_DAL_WAS,1,6,0.6,0.4,Non-Solver,N/A
90,W7_DAL_WAS,1,6,0.7,0.3,Non-Solver,N/A
95,W7_DAL_WAS,1,8,0.8,0.2,Non-Solver,N/A
97,W7_DAL_WAS,1,4,0.53,0.47,Non-Solver,N/A
98,W7_DAL_WAS,1,6,0.55,0.45,Non-Solver,N/A
100,W7_DAL_WAS,1,2,0.73,0.27,Non-Solver,N/A
101,W7_DAL_WAS,1,4,0.36,0.64,Non-Solver,N/A
103,W7_DAL_WAS,2,6,0.56,0.44,Solver,N/A
104,W7_DAL_WAS,1,6,0.61,0.39,Non-Solver,N/A
105,W7_DAL_WAS,2,4,0.5,0.5,Solver,N/A
106,W7_DAL_WAS,2,6,0.35,0.65,Solver,N/A
109,W7_DAL_WAS,1,8,0.85,0.15,Non-Solver,N/A
110,W7_DAL_WAS,1,4,0.59,0.41,Non-Solver,N/A
111,W7_DAL_WAS,1,6,0.54,0.46,Non-Solver,N/A
112,W7_DAL_WAS,1,6,0.7,0.3,Non-Solver,N/A
113,W7_DAL_WAS,2,8,0.37,0.63,Solver,N/A
115,W7_DAL_WAS,1,2,0.67,0.33,Non-Solver,N/A
117,W7_DAL_WAS,2,6,0.26,0.74,Solver,N/A
118,W7_DAL_WAS,1,8,0.84,0.16,Non-Solver,N/A
119,W7_DAL_WAS,1,6,0.6,0.4,Non-Solver,N/A
121,W7_DAL_WAS,1,4,0.36,0.64,Non-Solver,N/A
124,W7_DAL_WAS,1,10,1.0,0.0,Non-Solver,N/A
129,W7_DAL_WAS,2,6,0.62,0.38,Solver,N/A
132,W7_DAL_WAS,1,4,0.45,0.55,Non-Solver,N/A
134,W7_DAL_WAS,2,6,0.57,0.43,Solver,N/A
136,W7_DAL_WAS,2,6,0.4,0.6,Solver,N/A
137,W7_DAL_WAS,1,4,0.45,0.55,Non-Solver,N/A
142,W7_DAL_WAS,1,2,0.0,1.0,Non-Solver,N/A
143,W7_DAL_WAS,1,4,0.23,0.77,Non-Solver,N/A
146,W7_DAL_WAS,1,2,0.5,0.5,Non-Solver,N/A
151,W7_DAL_WAS,1,8,0.7,0.3,Non-Solver,N/A
156,W7_DAL_WAS,2,4,0.6,0.4,Solver,N/A
159,W7_DAL_WAS,1,4,0.56,0.44,Non-Solver,N/A
161,W7_DAL_WAS,1,4,0.69,0.31,Non-Solver,N/A
162,W7_DAL_WAS,1,4,0.41,0.59,Non-Solver,N/A
167,W7_DAL_WAS,1,6,0.75,0.25,Non-Solver,N/A
169,W7_DAL_WAS,1,4,0.45,0.55,Non-Solver,N/A
171,W7_DAL_WAS,1,6,0.49,0.51,Non-Solver,N/A
172,W7_DAL_WAS,1,6,0.31,0.69,Non-Solver,N/A
175,W7_DAL_WAS,1,8,0.85,0.15,Non-Solver,N/A
177,W7_DAL_WAS,2,4,0.66,0.34,Solver,N/A
180,W7_DAL_WAS,2,6,0.2,0.8,Solver,N/A
186,W7_DAL_WAS,1,2,0.31,0.69,Non-Solver,N/A
189,W7_DAL_WAS,1,4,0.31,0.69,Non-Solver,N/A
190,W7_DAL_WAS,1,8,0.72,0.28,Non-Solver,N/A
191,W7_DAL_WAS,1,2,0.55,0.45,Non-Solver,N/A
199,W7_DAL_WAS,2,2,0.68,0.32,Solver,N/A
200,W7_DAL_WAS,1,8,0.86,0.14,Non-Solver,N/A
202,W7_DAL_WAS,1,8,0.73,0.27,Non-Solver,N/A
203,W7_DAL_WAS,2,6,0.59,0.41,Solver,N/A
204,W7_DAL_WAS,1,4,0.5,0.5,Non-Solver,N/A
206,W7_DAL_WAS,1,8,0.72,0.28,Non-Solver,N/A
