Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W11_MIN_CHI,2,4,0.69,0.31,Solver,N/A
3,W11_MIN_CHI,2,2,0.4,0.6,Solver,N/A
4,W11_MIN_CHI,1,8,0.71,0.29,Non-Solver,N/A
9,W11_MIN_CHI,2,8,0.36,0.64,Solver,N/A
11,W11_MIN_CHI,2,6,0.48,0.52,Solver,N/A
13,W11_MIN_CHI,1,2,0.29,0.71,Non-Solver,N/A
14,W11_MIN_CHI,2,2,0.77,0.23,Solver,N/A
16,W11_MIN_CHI,1,6,0.56,0.44,Non-Solver,N/A
17,W11_MIN_CHI,1,6,0.56,0.44,Non-Solver,N/A
21,W11_MIN_CHI,1,8,0.61,0.39,Non-Solver,N/A
23,W11_MIN_CHI,1,6,0.71,0.29,Non-Solver,N/A
24,W11_MIN_CHI,2,2,0.69,0.31,Solver,N/A
26,W11_MIN_CHI,1,2,0.04,0.96,Non-Solver,N/A
28,W11_MIN_CHI,2,2,0.61,0.39,Solver,N/A
29,W11_MIN_CHI,1,2,0.47,0.53,Non-Solver,N/A
31,W11_MIN_CHI,1,8,0.53,0.47,Non-Solver,N/A
35,W11_MIN_CHI,2,2,1.0,0.0,Solver,N/A
44,W11_MIN_CHI,1,2,0.3,0.7,Non-Solver,N/A
45,W11_MIN_CHI,1,10,0.68,0.32,Non-Solver,N/A
46,W11_MIN_CHI,1,6,0.56,0.44,Non-Solver,N/A
48,W11_MIN_CHI,2,8,0.25,0.75,Solver,N/A
49,W11_MIN_CHI,1,8,0.76,0.24,Non-Solver,N/A
50,W11_MIN_CHI,2,8,0.26,0.74,Solver,N/A
51,W11_MIN_CHI,1,4,0.65,0.35,Non-Solver,N/A
53,W11_MIN_CHI,1,2,0.5,0.5,Non-Solver,N/A
54,W11_MIN_CHI,2,2,0.5,0.5,Solver,N/A
56,W11_MIN_CHI,1,2,0.54,0.46,Non-Solver,N/A
60,W11_MIN_CHI,1,8,0.85,0.15,Non-Solver,N/A
62,W11_MIN_CHI,2,2,0.77,0.23,Solver,N/A
63,W11_MIN_CHI,1,2,0.1,0.9,Non-Solver,N/A
64,W11_MIN_CHI,1,4,0.8,0.2,Non-Solver,N/A
66,W11_MIN_CHI,1,6,0.42,0.58,Non-Solver,N/A
67,W11_MIN_CHI,2,2,0.24,0.76,Solver,N/A
70,W11_MIN_CHI,2,8,0.13,0.87,Solver,N/A
71,W11_MIN_CHI,1,8,0.67,0.33,Non-Solver,N/A
73,W11_MIN_CHI,1,2,0.5,0.5,Non-Solver,N/A
75,W11_MIN_CHI,2,6,0.41,0.59,Solver,N/A
76,W11_MIN_CHI,2,8,0.3,0.7,Solver,N/A
80,W11_MIN_CHI,1,2,0.43,0.57,Non-Solver,N/A
83,W11_MIN_CHI,2,4,0.41,0.59,Solver,N/A
86,W11_MIN_CHI,1,6,0.59,0.41,Non-Solver,N/A
87,W11_MIN_CHI,2,6,0.73,0.27,Solver,N/A
90,W11_MIN_CHI,1,6,0.6,0.4,Non-Solver,N/A
91,W11_MIN_CHI,2,8,0.23,0.77,Solver,N/A
92,W11_MIN_CHI,2,8,0.29,0.71,Solver,N/A
97,W11_MIN_CHI,1,4,0.4,0.6,Non-Solver,N/A
98,W11_MIN_CHI,1,6,0.53,0.47,Non-Solver,N/A
99,W11_MIN_CHI,2,8,0.3,0.7,Solver,N/A
100,W11_MIN_CHI,1,2,0.38,0.62,Non-Solver,N/A
101,W11_MIN_CHI,1,6,0.7,0.3,Non-Solver,N/A
103,W11_MIN_CHI,2,6,0.5,0.5,Solver,N/A
105,W11_MIN_CHI,2,2,0.5,0.5,Solver,N/A
106,W11_MIN_CHI,1,6,0.73,0.27,Non-Solver,N/A
109,W11_MIN_CHI,2,6,0.35,0.65,Solver,N/A
110,W11_MIN_CHI,2,2,0.36,0.64,Solver,N/A
111,W11_MIN_CHI,2,6,0.24,0.76,Solver,N/A
112,W11_MIN_CHI,1,6,0.61,0.39,Non-Solver,N/A
113,W11_MIN_CHI,1,4,0.44,0.56,Non-Solver,N/A
115,W11_MIN_CHI,2,2,0.65,0.35,Solver,N/A
118,W11_MIN_CHI,1,10,0.81,0.19,Non-Solver,N/A
119,W11_MIN_CHI,2,6,0.25,0.75,Solver,N/A
121,W11_MIN_CHI,2,2,0.47,0.53,Solver,N/A
124,W11_MIN_CHI,1,8,0.68,0.32,Non-Solver,N/A
126,W11_MIN_CHI,1,6,0.53,0.47,Non-Solver,N/A
129,W11_MIN_CHI,1,8,0.81,0.19,Non-Solver,N/A
131,W11_MIN_CHI,2,8,0.31,0.69,Solver,N/A
132,W11_MIN_CHI,1,4,0.4,0.6,Non-Solver,N/A
137,W11_MIN_CHI,1,8,0.75,0.25,Non-Solver,N/A
141,W11_MIN_CHI,2,4,0.56,0.44,Solver,N/A
143,W11_MIN_CHI,1,6,0.57,0.43,Non-Solver,N/A
146,W11_MIN_CHI,2,2,0.37,0.63,Solver,N/A
148,W11_MIN_CHI,2,10,0.0,1.0,Solver,N/A
149,W11_MIN_CHI,1,4,0.61,0.39,Non-Solver,N/A
156,W11_MIN_CHI,1,4,0.41,0.59,Non-Solver,N/A
162,W11_MIN_CHI,2,6,0.47,0.53,Solver,N/A
165,W11_MIN_CHI,1,2,0.5,0.5,Non-Solver,N/A
167,W11_MIN_CHI,2,8,0.14,0.86,Solver,N/A
171,W11_MIN_CHI,2,8,0.42,0.58,Solver,N/A
172,W11_MIN_CHI,1,6,0.71,0.29,Non-Solver,N/A
180,W11_MIN_CHI,1,6,0.7,0.3,Non-Solver,N/A
189,W11_MIN_CHI,2,6,0.44,0.56,Solver,N/A
190,W11_MIN_CHI,1,4,0.35,0.65,Non-Solver,N/A
191,W11_MIN_CHI,1,2,0.64,0.36,Non-Solver,N/A
196,W11_MIN_CHI,2,4,0.45,0.55,Solver,N/A
199,W11_MIN_CHI,1,2,0.32,0.68,Non-Solver,N/A
200,W11_MIN_CHI,2,6,0.28,0.72,Solver,N/A
203,W11_MIN_CHI,2,4,0.65,0.35,Solver,N/A
204,W11_MIN_CHI,2,4,0.6,0.4,Solver,N/A
207,W11_MIN_CHI,2,8,0.35,0.65,Solver,N/A
210,W11_MIN_CHI,2,2,0.85,0.15,Solver,N/A
211,W11_MIN_CHI,1,8,0.69,0.31,Non-Solver,N/A
212,W11_MIN_CHI,2,10,0.1,0.9,Solver,N/A
214,W11_MIN_CHI,2,4,0.6,0.4,Solver,N/A
224,W11_MIN_CHI,2,6,0.47,0.53,Solver,N/A
225,W11_MIN_CHI,2,2,0.31,0.69,Solver,N/A
227,W11_MIN_CHI,2,6,0.53,0.47,Solver,N/A
