Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
6,W15_TEN_NYG,2,2,0.42,0.58,Non-Solver,N/A
9,W15_TEN_NYG,1,10,0.92,0.08,Solver,N/A
11,W15_TEN_NYG,2,6,0.48,0.52,Non-Solver,N/A
13,W15_TEN_NYG,2,2,0.68,0.32,Non-Solver,N/A
14,W15_TEN_NYG,2,2,0.85,0.15,Non-Solver,N/A
16,W15_TEN_NYG,1,6,0.6,0.4,Solver,N/A
17,W15_TEN_NYG,1,6,0.47,0.53,Solver,N/A
21,W15_TEN_NYG,2,10,0.15,0.85,Non-Solver,N/A
24,W15_TEN_NYG,2,2,0.64,0.36,Non-Solver,N/A
25,W15_TEN_NYG,2,4,0.37,0.63,Non-Solver,N/A
26,W15_TEN_NYG,1,2,0.73,0.27,Solver,N/A
27,W15_TEN_NYG,2,6,0.5,0.5,Non-Solver,N/A
28,W15_TEN_NYG,2,2,0.39,0.61,Non-Solver,N/A
29,W15_TEN_NYG,1,2,0.55,0.45,Solver,N/A
31,W15_TEN_NYG,2,6,0.47,0.53,Non-Solver,N/A
32,W15_TEN_NYG,2,2,0.51,0.49,Non-Solver,N/A
35,W15_TEN_NYG,2,2,0.5,0.5,Non-Solver,N/A
39,W15_TEN_NYG,2,8,0.25,0.75,Non-Solver,N/A
44,W15_TEN_NYG,2,2,0.55,0.45,Non-Solver,N/A
46,W15_TEN_NYG,1,8,0.78,0.22,Solver,N/A
48,W15_TEN_NYG,2,6,0.55,0.45,Non-Solver,N/A
49,W15_TEN_NYG,2,6,0.37,0.63,Non-Solver,N/A
50,W15_TEN_NYG,1,4,0.26,0.74,Solver,N/A
51,W15_TEN_NYG,2,4,0.46,0.54,Non-Solver,N/A
53,W15_TEN_NYG,1,2,0.5,0.5,Solver,N/A
54,W15_TEN_NYG,2,2,0.52,0.48,Non-Solver,N/A
56,W15_TEN_NYG,1,2,0.56,0.44,Solver,N/A
60,W15_TEN_NYG,2,8,0.1,0.9,Non-Solver,N/A
61,W15_TEN_NYG,2,8,0.35,0.65,Non-Solver,N/A
63,W15_TEN_NYG,2,4,0.44,0.56,Non-Solver,N/A
64,W15_TEN_NYG,2,2,0.45,0.55,Non-Solver,N/A
66,W15_TEN_NYG,2,6,0.44,0.56,Non-Solver,N/A
67,W15_TEN_NYG,2,6,0.13,0.87,Non-Solver,N/A
69,W15_TEN_NYG,1,8,0.75,0.25,Solver,N/A
70,W15_TEN_NYG,2,8,0.15,0.85,Non-Solver,N/A
71,W15_TEN_NYG,2,6,0.4,0.6,Non-Solver,N/A
73,W15_TEN_NYG,2,2,0.5,0.5,Non-Solver,N/A
76,W15_TEN_NYG,1,6,0.55,0.45,Solver,N/A
77,W15_TEN_NYG,1,2,0.63,0.37,Solver,N/A
80,W15_TEN_NYG,1,2,0.3,0.7,Solver,N/A
81,W15_TEN_NYG,2,8,0.18,0.82,Non-Solver,N/A
82,W15_TEN_NYG,2,6,0.39,0.61,Non-Solver,N/A
83,W15_TEN_NYG,1,6,0.59,0.41,Solver,N/A
84,W15_TEN_NYG,2,6,0.49,0.51,Non-Solver,N/A
87,W15_TEN_NYG,1,2,0.24,0.76,Solver,N/A
89,W15_TEN_NYG,2,4,0.45,0.55,Non-Solver,N/A
90,W15_TEN_NYG,1,6,0.7,0.3,Solver,N/A
92,W15_TEN_NYG,2,4,0.53,0.47,Non-Solver,N/A
93,W15_TEN_NYG,1,2,0.05,0.95,Solver,N/A
97,W15_TEN_NYG,2,8,0.24,0.76,Non-Solver,N/A
98,W15_TEN_NYG,1,4,0.6,0.4,Solver,N/A
99,W15_TEN_NYG,2,8,0.3,0.7,Non-Solver,N/A
101,W15_TEN_NYG,1,6,0.47,0.53,Solver,N/A
103,W15_TEN_NYG,2,6,0.5,0.5,Non-Solver,N/A
104,W15_TEN_NYG,1,6,0.64,0.36,Solver,N/A
105,W15_TEN_NYG,2,8,0.15,0.85,Non-Solver,N/A
106,W15_TEN_NYG,1,4,0.65,0.35,Solver,N/A
108,W15_TEN_NYG,2,8,0.2,0.8,Non-Solver,N/A
109,W15_TEN_NYG,2,6,0.27,0.73,Non-Solver,N/A
110,W15_TEN_NYG,1,6,0.7,0.3,Solver,N/A
111,W15_TEN_NYG,2,6,0.3,0.7,Non-Solver,N/A
112,W15_TEN_NYG,2,6,0.25,0.75,Non-Solver,N/A
113,W15_TEN_NYG,1,4,0.2,0.8,Solver,N/A
115,W15_TEN_NYG,2,2,0.39,0.61,Non-Solver,N/A
118,W15_TEN_NYG,2,10,0.27,0.73,Non-Solver,N/A
119,W15_TEN_NYG,1,4,0.6,0.4,Solver,N/A
121,W15_TEN_NYG,2,10,0.12,0.88,Non-Solver,N/A
126,W15_TEN_NYG,2,4,0.42,0.58,Non-Solver,N/A
127,W15_TEN_NYG,2,8,0.0,1.0,Non-Solver,N/A
129,W15_TEN_NYG,2,4,0.32,0.68,Non-Solver,N/A
132,W15_TEN_NYG,2,2,0.5,0.5,Non-Solver,N/A
137,W15_TEN_NYG,1,10,0.87,0.13,Solver,N/A
141,W15_TEN_NYG,1,6,0.59,0.41,Solver,N/A
143,W15_TEN_NYG,1,6,0.63,0.37,Solver,N/A
148,W15_TEN_NYG,2,8,0.15,0.85,Non-Solver,N/A
153,W15_TEN_NYG,2,2,0.47,0.53,Non-Solver,N/A
156,W15_TEN_NYG,2,6,0.63,0.37,Non-Solver,N/A
158,W15_TEN_NYG,2,6,0.41,0.59,Non-Solver,N/A
159,W15_TEN_NYG,2,4,0.45,0.55,Non-Solver,N/A
161,W15_TEN_NYG,2,4,0.41,0.59,Non-Solver,N/A
162,W15_TEN_NYG,1,8,0.69,0.31,Solver,N/A
165,W15_TEN_NYG,1,8,0.81,0.19,Solver,N/A
167,W15_TEN_NYG,1,6,0.53,0.47,Solver,N/A
169,W15_TEN_NYG,1,4,0.6,0.4,Solver,N/A
171,W15_TEN_NYG,2,4,0.59,0.41,Non-Solver,N/A
172,W15_TEN_NYG,1,6,0.65,0.35,Solver,N/A
180,W15_TEN_NYG,1,4,0.85,0.15,Solver,N/A
186,W15_TEN_NYG,1,6,0.69,0.31,Solver,N/A
188,W15_TEN_NYG,1,4,0.25,0.75,Solver,N/A
189,W15_TEN_NYG,2,6,0.59,0.41,Non-Solver,N/A
190,W15_TEN_NYG,1,6,0.6,0.4,Solver,N/A
191,W15_TEN_NYG,2,2,0.39,0.61,Non-Solver,N/A
196,W15_TEN_NYG,1,4,0.44,0.56,Solver,N/A
199,W15_TEN_NYG,2,2,0.68,0.32,Non-Solver,N/A
