Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W4_MIA_NE,2,6,0.4,0.6,Solver,N/A
6,W4_MIA_NE,2,2,0.68,0.32,Solver,N/A
8,W4_MIA_NE,1,2,0.1,0.9,Non-Solver,N/A
9,W4_MIA_NE,1,4,0.34,0.66,Non-Solver,N/A
11,W4_MIA_NE,2,8,0.1,0.9,Solver,N/A
13,W4_MIA_NE,2,6,0.2,0.8,Solver,N/A
14,W4_MIA_NE,2,2,0.85,0.15,Solver,N/A
15,W4_MIA_NE,2,6,0.4,0.6,Solver,N/A
16,W4_MIA_NE,2,8,0.17,0.83,Solver,N/A
17,W4_MIA_NE,2,6,0.41,0.59,Solver,N/A
21,W4_MIA_NE,2,6,0.3,0.7,Solver,N/A
23,W4_MIA_NE,2,8,0.2,0.8,Solver,N/A
24,W4_MIA_NE,2,2,0.31,0.69,Solver,N/A
25,W4_MIA_NE,2,4,0.22,0.78,Solver,N/A
26,W4_MIA_NE,1,4,0.77,0.23,Non-Solver,N/A
27,W4_MIA_NE,2,8,0.31,0.69,Solver,N/A
28,W4_MIA_NE,1,2,0.62,0.38,Non-Solver,N/A
29,W4_MIA_NE,1,4,0.15,0.85,Non-Solver,N/A
31,W4_MIA_NE,1,6,0.55,0.45,Non-Solver,N/A
32,W4_MIA_NE,1,2,0.43,0.57,Non-Solver,N/A
33,W4_MIA_NE,2,2,0.51,0.49,Solver,N/A
44,W4_MIA_NE,2,6,0.1,0.9,Solver,N/A
45,W4_MIA_NE,1,6,0.3,0.7,Non-Solver,N/A
46,W4_MIA_NE,2,6,0.37,0.63,Solver,N/A
48,W4_MIA_NE,2,8,0.19,0.81,Solver,N/A
51,W4_MIA_NE,2,8,0.28,0.72,Solver,N/A
53,W4_MIA_NE,2,2,0.5,0.5,Solver,N/A
54,W4_MIA_NE,2,8,0.35,0.65,Solver,N/A
55,W4_MIA_NE,2,8,0.1,0.9,Solver,N/A
57,W4_MIA_NE,2,10,0.3,0.7,Solver,N/A
60,W4_MIA_NE,2,10,0.07,0.93,Solver,N/A
61,W4_MIA_NE,2,8,0.19,0.81,Solver,N/A
62,W4_MIA_NE,2,10,0.2,0.8,Solver,N/A
64,W4_MIA_NE,1,8,0.4,0.6,Non-Solver,N/A
65,W4_MIA_NE,2,8,0.0600000000000001,0.94,Solver,N/A
66,W4_MIA_NE,1,6,0.44,0.56,Non-Solver,N/A
67,W4_MIA_NE,2,8,0.25,0.75,Solver,N/A
69,W4_MIA_NE,2,6,0.41,0.59,Solver,N/A
70,W4_MIA_NE,2,10,0.0,1.0,Solver,N/A
71,W4_MIA_NE,1,6,0.0,1.0,Non-Solver,N/A
75,W4_MIA_NE,2,6,0.32,0.68,Solver,N/A
76,W4_MIA_NE,2,6,0.47,0.53,Solver,N/A
77,W4_MIA_NE,2,8,0.17,0.83,Solver,N/A
78,W4_MIA_NE,2,2,0.6,0.4,Solver,N/A
80,W4_MIA_NE,1,2,0.1,0.9,Non-Solver,N/A
83,W4_MIA_NE,2,6,0.4,0.6,Solver,N/A
87,W4_MIA_NE,2,4,0.4,0.6,Solver,N/A
88,W4_MIA_NE,2,8,0.36,0.64,Solver,N/A
89,W4_MIA_NE,2,6,0.35,0.65,Solver,N/A
90,W4_MIA_NE,2,8,0.19,0.81,Solver,N/A
91,W4_MIA_NE,1,2,0.49,0.51,Non-Solver,N/A
93,W4_MIA_NE,1,4,0.41,0.59,Non-Solver,N/A
94,W4_MIA_NE,2,2,0.9,0.1,Solver,N/A
95,W4_MIA_NE,2,6,0.4,0.6,Solver,N/A
96,W4_MIA_NE,2,8,0.17,0.83,Solver,N/A
97,W4_MIA_NE,2,6,0.51,0.49,Solver,N/A
98,W4_MIA_NE,2,8,0.3,0.7,Solver,N/A
99,W4_MIA_NE,2,6,0.4,0.6,Solver,N/A
100,W4_MIA_NE,1,2,0.64,0.36,Non-Solver,N/A
101,W4_MIA_NE,1,6,0.5,0.5,Non-Solver,N/A
103,W4_MIA_NE,2,6,0.6,0.4,Solver,N/A
104,W4_MIA_NE,2,8,0.24,0.76,Solver,N/A
109,W4_MIA_NE,2,4,0.41,0.59,Solver,N/A
110,W4_MIA_NE,2,6,0.35,0.65,Solver,N/A
112,W4_MIA_NE,2,10,0.2,0.8,Solver,N/A
113,W4_MIA_NE,2,2,0.31,0.69,Solver,N/A
115,W4_MIA_NE,2,2,0.24,0.76,Solver,N/A
118,W4_MIA_NE,2,6,0.15,0.85,Solver,N/A
119,W4_MIA_NE,2,8,0.2,0.8,Solver,N/A
122,W4_MIA_NE,2,8,0.07,0.93,Solver,N/A
